Material Exchange Platform (MEP),Host,Website,Platform type,Exchange type,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Cost of materials known?,Provenance known?,Quantity known?,Quality known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Children's Scrapstore,ReusefulUK,https://www.childrensscrapstore.co.uk/,Enterprise shop and online listings,Donate to MEP and buy from MEP,Business waste,,No but can buy a membership for discount,No,Contact to donate or register online for membership,Dont know,Some,No,Some,No,Bristol,21 Sevier Street,St Werburghs,,Bristol,BS2 9LB,Bristol,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Community Scrapstore North Somerset,ReusefulUK,https://communityscrapstore.org.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required,Yes, Contact to donate or register online for membership,Dont know,No,No,No,No,Somerset,66 Gazelle Road,Weston-super-Mare,,Somerset,BS24 9ES,Somerset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Hub,ReusefulUK,https://www.thehubyeovil.co.uk/scrapstore,Enterprise and shop,Donate to MEP and buy from MEP,Business waste and craft supplies,,No,Yes,Contact for more information,No,Some,No,No,No,Somerset,13 Buckland Road,Yeovil,,Somerset,BA21 5EA,Somerset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Exeter Scrapstore,ReusefulUK,https://exeterscrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Arts and crafts,,No but can buy a membership for discount,Yes,Contact for more information Order online collect in store Visit store or Register online for membership,Dont know,No,No,No,No,Exeter,Belmont Park,Gordon Road,,Exeter,EX1 2DH,Devon,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Cornwall Scrapstore,ReusefulUK,https://cornwallscrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy, Yes,Contact for more information or register online for membership,Dont know,No,No,No,No,St Austell, Drinnick Number Eight,Goonamarris,St Austell,Cornwall,PL26 7QX,Cornwall,EnglandBlue,,,,,,,,,,,,,,,,,,,,,,,,
Dorset Scrapstore,ReusefulUK,https://www.dorsetscrapstore.org.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste and individual waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dot know,Some,No,Some,Some,Poole,The Factory,14 Alder Hills,Poole,Dorset,BH12 4AS,Dorset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Waterside Scrapstore,ReusefulUK,https://www.watersidescrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dont know,Yes,No,No,No,Southamption,Sunnyfields Farm,Jacobs Gutter Lane,Totton,Southampton,SO40 9FX,Hampshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Southampton Scrap Store,ReusefulUK,https://southamptonscrapstore.org.uk/,Enterprise shop and collection service,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dont know,No,No,No,No,Southampton,Unit 15, Belgrave Industrial Estate,Swaythling,Southampton,SO17 3EA,Hampshire,EnglandBlue,,,,,,,,,,,,,,,,,,,,,,,,
The Scrap Space,ReusefulUK,https://www.weareoverthemoon.org/thescrapspace,Enterprise and shop,Donate to MEP MEP donates and buy from MEP,Business waste and household waste,,Yes - membership required to buy,Yes,Contact before donating or register online for membership,Dont know,No,No,No,No,West Sussex,The Circular Space,Ham Road,Shoreham-by-sea,West Sussex,BN43 6PA,West Sussex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Artytime scrapstore,ReusefulUK,https://www.artytime.co.uk/scrapstore/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dont know,No,No,No,No,East Sussex,Jarvis Brook Recreational Ground,Crowborough Hill,Crowborough,East Sussex,TN6 2EG,East Sussex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Rebuild Site,Story,https://www.rebuildsite.co.uk/about/,CIC,Online listing and shop,Construction materials wood and paints,,Dont know,Dont know,Buy in store, Dont know,Yes,Yes,Yes,Dont know,Carlisle,Kingmoor Park North,Unit A2 Dukes Drive,,Carlisle,CA6 4SH,Cumbria,England,Red,,,,,,,,,,,,,,,,,,,,,,,,
