Material Exchange Platform (MEP),Host,Website,Platform type,Exchange type,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Cost of materials known?,Provenance known?,Quantity known?,Quality known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Just Wood Leicestershire,National Community Wood Recycling Project,https://www.justwoodleicestershire.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store or online,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Leicester,Unit 6,62-66 Friday Street,,Leicester,LE1 3BW,Leicestershire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Wiltshire Wood Recycling,National Community Wood Recycling Project,https://www.wiltshirewoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Wiltshire,Milking Parlour,East Combe Farm,,Castle Combe,SN14 7EY,Wiltshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Jericho Wood Shack,National Community Wood Recycling Project,https://www.jerichowoodshack.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Birmingham,The Old Depot,Sutton Coldfield,,Sutton Coldfield,B75 7BB,Birmingham,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Wood Recycling Project,National Community Wood Recycling Project,https://www.bwrp.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy over phone or in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Bristol,Unit 4,William Street,,Bristol,BS2 0RG,Bristol,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Wood Saints,National Community Wood Recycling Project,https://woodsaints.com/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Wolverhampton,The Wood Depot,Dixon Street,,Wolverhampton,WV2 2BX,Wolverhampton,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands Wood Recycling,National Community Wood Recycling Project,https://www.eastmidlandswoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Derby,The Old Pattern Shop,Unit 1,,Litchurch Lane,DE24 8AQ,Derby,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Somerset Wood Recycling,National Community Wood Recycling Project,https://www.somersetwoodrecycling.co.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Buy in store. Contact to discuss possible donations,Don't know,Unsure,Local,See in store,See in store,Weston-Super-Mare,The Motex Centre,Winterstoke Road,,Weston-Super-Mare,BS23 3YW,Somerset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Reseiclo,National Community Wood Recycling Project,https://www.facebook.com/TheWoodstoreNewport/?locale=en_GB,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on volume,Local,See in store,See in store,Newport,Unit 2 Harlequin Trading Estate,Aldernery Street,,Newport Gwent,NP20 5NH,Newport,Wales,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Green Estate Waste Recycling,National Community Wood Recycling Project,http://greenestaterecycling.co.uk/,Recycling facility,Sell green waste and buy compost,Wood and green waste,,No,Free ,Drop off and collect at site,Don't know,Cost depends on volume,Local,NA,NA,Sheffield,Head Office,Manor Oaks Farmhouse,389 Manor Lane,Sheffield,S2 1UL,Sheffield,England,Pink,,,,,,,,,,,,,,,,,,,,,,,,
Humber Wood Recycling Project,National Community Wood Recycling Project,https://www.humberwoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Hull,Unit 2 Cornwall Street,,,Hull,HU8 8AF,Hull,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
EMERGE Touch Wood,National Community Wood Recycling Project,https://www.emerge3rs.co.uk/touchwood/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Manchester,EMERGE Recycling,"New Smithfield market, Whitworth Street East",,Manchester,M11 2WJ,Manchester,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
